State,From Year,To Year,Category,Sub-category,Display Names,Total,% To India,% To State,Males,% To Total,Females,% To Total,All India Total,All India Males,All India Females,All States,All India Figs
GUJARAT,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,109.02,,,,,,,115.63,,,,
HIMACHAL PRADESH,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,109.39,,,,,,,115.63,,,,
JHARKHAND,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,110,,,,,,,14321,,,,
MEGHALAYA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),110,,,,,,,411840,,,,
RAJASTHAN,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,111,,,,,,,3357,,,,
DAMAN & DIU,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),111,,,,,,,1849805,,,,
PUNJAB,,2011,HEALTH,No of Dispensaries ,Dispensaries ,112,,,,,,,24146,,,,
WEST BENGAL,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),112,,,,,,,3170,,,,
MAHARASHTRA,,2011,POPULATION,Population (in million),Population(Mn),112.37,9.29,,58.36,51.94,54.01,48.06,1210.2,623.7,586.5,,
HARYANA,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,113,,,,,,,3292,,,,
ANDAMAN & NICOBAR ISLANDS,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,113,,,23,,367,,3.8,2.9,6.9,,
GUJARAT,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,114,,,,,,,2074,,,,
DELHI,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,114.75,,,,,,,115.63,,,,
HIMACHAL PRADESH,2009,2010,EDUCATION,Upper Primary GER,Upper Primary GER,115.11,,,,,,,75.8,,,,
ASSAM,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,115.13,,,,,,,115.63,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Upper Primary GER,Upper Primary GER,115.15,,,,,,,75.8,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,117,,,,,,,66917,,,,
LAKSHADWEEP,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,117,,,76,,366,,5,3.4,12.5,,
RAJASTHAN,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,117.07,,,,,,,115.63,,,,
MEGHALAYA,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,118,,,,,,,25938,,,,
PUDUCHERRY,2009,2010,EDUCATION,Schools and Colleges-Middle or Sr Basic Schools  ,Middle Schools,118,,,,,,,367745,,,,
CHHATTISGARH,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),119,,,,,,,7347,,,,
NAGALAND,,2011,POPULATION,Density Of Population (per sq km),Population Density,119,,,,,,,382,,,,
ANDAMAN & NICOBAR ISLANDS,2011,2012,LABOUR AND EMPLOYMENT,Urban Unemployment Rate  (2011-12),Unemployment Rate-urb,119,,,25,,331,,5,3.4,12.5,,
JAMMU & KASHMIR,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,119.1,,,,,,,115.63,,,,
ORISSA,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,119.42,,,,,,,115.63,,,,
TAMIL NADU,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,119.56,,,,,,,75.8,,,,
TAMIL NADU,2009,2010,EDUCATION,Upper Primary GER,Upper Primary GER,119.56,,,,,,,30,,,,
MANIPUR,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,120,,,,,,,66917,,,,
MANIPUR,,2011,POPULATION,Density Of Population (per sq km),Population Density,122,,,,,,,382,,,,
HIMACHAL PRADESH,,2011,POPULATION,Density Of Population (per sq km),Population Density,123,,,,,,,382,,,,
JAMMU & KASHMIR,,2011,POPULATION,Density Of Population (per sq km),Population Density,124,,,,,,,382,,,,
MADHYA PRADESH,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),124,,,,,,,4146,,,,
MEGHALAYA,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,124,,,,,,,66917,,,,
CHHATTISGARH,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,124.7,,,,,,,115.63,,,,
NAGALAND,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),125,,,,,,,211622,,,,
KERALA,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,125,,,,,,,3357,,,,
DELHI,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),126,,,,,,,11993,,,,
DELHI,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),126,,,,,,,4146,,,,
SIKKIM,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,126,,,,,,,123745,,,,
GUJARAT,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),127,,,,,,,4146,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Schools and Colleges-Middle or Sr Basic Schools  ,Middle Schools,127,,,,,,,367745,,,,
UTTAR PRADESH,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,128,,,,,,,3357,,,,
UTTAR PRADESH,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),128,,,,,,,242,,,,
BIHAR,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),130,,,,,,,93769,,,,
CHHATTISGARH,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,131,,,,,,,2894,,,,
TRIPURA,,2011,HEALTH,No of Dispensaries ,Dispensaries ,131,,,,,,,24146,,,,
MEGHALAYA,,2011,POPULATION,Density Of Population (per sq km),Population Density,132,,,,,,,382,,,,
BIHAR,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,134,,,,,,,3292,,,,
ANDHRA PRADESH,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,134,,,,,,,212,,,,
PUNJAB,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),135,,,,,,,4146,,,,
BIHAR,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,135.53,,,,,,,115.63,,,,
WEST BENGAL,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,136.2,,,,,,,115.63,,,,
KERALA,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),138,,,,,,,618664,,,,
WEST BENGAL,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),139,,,,,,,1599,,,,
MADHYA PRADESH,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,139.35,,,,,,,115.63,,,,
UTTARAKHAND,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),140.39,,,,,,,211622,,,,
MAHARASHTRA,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,141,,,,,,,2074,,,,
MANIPUR,2010,2011,INDUSTRY & INFRASTRUCTURE,Invested Capital (in Rs cr),Invested Capital (Cr),141.05,,,,,,,2394711.06,,,,
TRIPURA,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,141.41,,,,,,,115.63,,,,
NAGALAND,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,142.27,,,,,,,115.63,,,,
ANDHRA PRADESH,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),143,,,,,,,160862,,,,
MADHYA PRADESH,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),145,,,,,,,242,,,,
WEST BENGAL,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,145,,,,,,,212,,,,
CHHATTISGARH,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),146,,,,,,,242,,,,
ARUNACHAL PRADESH,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),146,,,,,,,7347,,,,
JAMMU & KASHMIR,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,147,,,,,,,3357,,,,
GUJARAT,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,148,,,,,,,212,,,,
JHARKHAND,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,148.96,,,,,,,115.63,,,,
HIMACHAL PRADESH,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),150,,,,,,,11993,,,,
TRIPURA,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),151,,,,,,,64600,,,,
HARYANA,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,153,,,,,,,212,,,,
ASSAM,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,153,,,,,,,3292,,,,
ASSAM,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),153,,,,,,,11993,,,,
SIKKIM,2001,2011,POPULATION,Urban Decadal Population Growth (in %),Decadal Pop. Growth-Urb,153.43,,,143.16, ,165.78,,31.8,30.06,33.73,,
HARYANA,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,154,,,,,,,2894,,,,
HARYANA,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),154,,,,,,,11993,,,,
DELHI,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,155,,,,,,,25938,,,,
JHARKHAND,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),155,,,,,,,242,,,,
UTTAR PRADESH,,2011,POPULATION,Rural Population (in million),Population-Rur(Mn),155.1,,77.72,81.04,,74.1,,833.1,427.9,405.2,,
LAKSHADWEEP,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,160,,,,,,,784940,,,,
LAKSHADWEEP,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),160,,,,,,,160862,,,,
JHARKHAND,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,161,,,,,,,25938,,,,
ARUNACHAL PRADESH,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),161,,,,,,,11993,,,,
CHANDIGARH,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,161,,,126,,367,,3.4,2.7,5.6,,
KARNATAKA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),161,,,,,,,,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,161.02,,,,,,,115.63,,,,
MANIPUR,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,161.54,,,,,,,115.63,,,,
ASSAM,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),162,,,,,,,242,,,,
SIKKIM,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),162,,,,,,,411840,,,,
SIKKIM,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,166.08,,,,,,,115.63,,,,
PUDUCHERRY,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,167,,,,,,,123745,,,,
TAMIL NADU,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),168.05,,,,,,,,,,,
BIHAR,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),169,,,,,,,4146,,,,
UTTAR PRADESH,,2011,POPULATION,Population (Aged 7 & Above) (in million),Population(>7 Yrs)(Mn),169.8,,,,,,,1051.4,,,,
DELHI,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),170,,,,,,,959,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,170,,,,,,,823162,,,,
PUNJAB,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,172,,,,,,,212,,,,
WEST BENGAL,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),173,,,,,,,242,,,,
KARNATAKA,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,174,,,,,,,2074,,,,
PUNJAB,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,177,,,,,,,3292,,,,
KARNATAKA,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,178,,,,,,,212,,,,
SIKKIM,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),179,,,,,,,163898,,,,
WEST BENGAL,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,180,,,,,,,3292,,,,
NAGALAND,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),180,,,,,,,959,,,,
SIKKIM,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),180,,,,,,,136050,,,,
DELHI,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),183,,,,,,,64600,,,,
ORISSA,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),183,,,,,,,242,,,,
RAJASTHAN,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),186,,,,,,,242,,,,
KERALA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),186,,,,,,,,,,,
UTTARAKHAND,,2011,POPULATION,Density Of Population (per sq km),Population Density,189,,,,,,,382,,,,
CHHATTISGARH,,2011,POPULATION,Density Of Population (per sq km),Population Density,189,,,,,,,382,,,,
LAKSHADWEEP,2009,2011,INDUSTRY & INFRASTRUCTURE,Other PWD Roads (Total in km),PWD Roads (km),189,,,,,,,1005327,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,190,,,,,,,123745,,,,
LAKSHADWEEP,2009,2011,INDUSTRY & INFRASTRUCTURE,Road Coverage (Total in km),Road Coverage (km),190,,,,,,,4690342,,,,
ANDHRA PRADESH,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),191,,,,,,,959,,,,
HIMACHAL PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),192,,,,,,,211622,,,,
KERALA,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,192,,,,,,,2894,,,,
GUJARAT,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),198,,,,,,,242,,,,
TAMIL NADU,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,198,,,,,,,3357,,,,
UTTAR PRADESH,,2011,POPULATION,Population (in million),Population(Mn),199.6,,,104.6,52.41,94.9,47.59,1210.2,623.7,586.5,,
DAMAN & DIU,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),200,,,,,,,784940,,,,
DAMAN & DIU,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),200,,,,,,,618664,,,,
RAJASTHAN,,2011,POPULATION,Density Of Population (per sq km),Population Density,201,,,,,,,382,,,,
HARYANA,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),203,,,,,,,242,,,,
NAGALAND,,2011,HEALTH,No of Dispensaries ,Dispensaries ,203,,,,,,,24146,,,,
MAHARASHTRA,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),204,,,,,,,242,,,,
MEGHALAYA,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,206.58,,,,,,,115.63,,,,
ANDAMAN & NICOBAR ISLANDS,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,207,,,,,,,823162,,,,
MIZORAM,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,207.73,,,,,,,115.63,,,,
MADHYA PRADESH,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,208,,,,,,,2894,,,,
LAKSHADWEEP,2011,2012,LABOUR AND EMPLOYMENT,Unemployment Rate   (2011-12),Unemployment Rate,209,,,196,,314,,3.8,2.9,6.9,,
MANIPUR,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),211,,,,,,,411840,,,,
UTTAR PRADESH,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,212,,,,,,,2894,,,,
PUNJAB,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),213,,,,,,,11993,,,,
RAJASTHAN,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,214,,,,,,,3292,,,,
DADRA & NAGAR HAVELI,2001,2011,POPULATION,Urban Decadal Population Growth (in %),Decadal Pop. Growth-Urb,216.73,,,218.19, ,214.61,,31.8,30.06,33.73,,
MANIPUR,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),217,,,,,,,7347,,,,
CHHATTISGARH,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),218,,,,,,,11993,,,,
DAMAN & DIU,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,218.37,,,307.47, ,127.82,,31.8,30.06,33.73,,
MIZORAM,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),220,,,,,,,136050,,,,
TAMIL NADU,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),223,,,,,,,959,,,,
UTTARAKHAND,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,225,,,,,,,25938,,,,
JHARKHAND,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,225,,,,,,,66917,,,,
MANIPUR,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),225,,,,,,,11993,,,,
ANDAMAN & NICOBAR ISLANDS,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),229,,,,,,,163898,,,,
BIHAR,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),230,,,,,,,11993,,,,
SIKKIM,,2009,HEALTH,HIV-Estimated Adults (15-49) With HIV,HIV-Adults,231,,,,,,,2395444,,,,
DADRA & NAGAR HAVELI,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),231,,,,,,,618664,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,231.62,,,,,,,115.63,,,,
KARNATAKA,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),233,,,,,,,959,,,,
NAGALAND,2010,2011,INDUSTRY & INFRASTRUCTURE,Invested Capital (in Rs cr),Invested Capital (Cr),233.93,,,,,,,2394711.06,,,,
PUNJAB,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,234,,,,,,,14321,,,,
MADHYA PRADESH,,2011,POPULATION,Density Of Population (per sq km),Population Density,236,,,,,,,382,,,,
DAMAN & DIU,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),236,,,,,,,4690342,,,,
HARYANA,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,238,,,,,,,14321,,,,
GUJARAT,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,244,,,,,,,3292,,,,
SIKKIM,2009,2010,EDUCATION,Schools and Colleges-Middle or Sr Basic Schools  ,Middle Schools,244,,,,,,,367745,,,,
PUNJAB,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),247,,,,,,,242,,,,
DAMAN & DIU,,2009,HEALTH,HIV-Estimated Adults (15-49) With HIV (%),HIV- Adults (%),251,,,,,,,2395444,,,,
GUJARAT,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,254,,,,,,,3357,,,,
JAMMU & KASHMIR,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),256,,,,,,,64600,,,,
MIZORAM,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),256,,,,,,,211622,,,,
ORISSA,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,258,,,,,,,212,,,,
BIHAR,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,261,,,,,,,212,,,,
JHARKHAND,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,261,,,,,,,212,,,,
MIZORAM,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),266,,,,,,,959,,,,
MANIPUR,,2011,HEALTH,No of Dispensaries ,Dispensaries ,267,,,,,,,24146,,,,
CHHATTISGARH,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,269,,,,,,,212,,,,
MADHYA PRADESH,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,269,,,,,,,212,,,,
ORISSA,,2011,POPULATION,Density Of Population (per sq km),Population Density,269,,,,,,,382,,,,
UTTAR PRADESH,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,269,,,,,,,11993,,,,
GOA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),269,,,,,,,163898,,,,
KARNATAKA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),273,,,,,,,,,,,
PUDUCHERRY,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),274,,,,,,,160862,,,,
GOA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),279,,,,,,,1849805,,,,
UTTARAKHAND,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),280,,,,,,,242,,,,
ARUNACHAL PRADESH,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),280,,,,,,,136050,,,,
TRIPURA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),280,,,,,,,411840,,,,
DADRA & NAGAR HAVELI,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,281,,,,,,,784940,,,,
DADRA & NAGAR HAVELI,,2009,HEALTH,HIV-Estimated Adults (15-49) With HIV,HIV-Adults,285,,,,,,,2395444,,,,
KERALA,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),287,,,,,,,959,,,,
WEST BENGAL,,2012,HEALTH,No of Urban Hospitals (Govt),Urb. Hospitals (Govt),290,,,,,,,4146,,,,
LAKSHADWEEP,2011,2012,LABOUR AND EMPLOYMENT,Rural Unemployment Rate  (2011-12),Unemployment Rate-Rur,290,,,294,,240,,3.4,2.7,5.6,,
DAMAN & DIU,2009,2010,HEALTH,HIV-Estimated Adults (15-49) With HIV,HIV-Adults,293,,,,,,,1522147,,,,
MANIPUR,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),294,,,,,,,242,,,,
HIMACHAL PRADESH,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),296,,,,,,,64600,,,,
UTTAR PRADESH,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,299,,,,,,,3292,,,,
PUDUCHERRY,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,300,,,,,,,823162,,,,
ANDAMAN & NICOBAR ISLANDS,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),300,,,,,,,70934,,,,
DAMAN & DIU,2004,2005,HEALTH,Projected Life Expectancy Rate,Projected Life Expectancy Rate,301,,,,,,,959,,,,
JAMMU & KASHMIR,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,303,,,,,,,25938,,,,
GUJARAT,,2011,POPULATION,Density Of Population (per sq km),Population Density,308,,,,,,,382,,,,
CHANDIGARH,2010,2011,INDUSTRY & INFRASTRUCTURE,No of Factories (in 2010-11),Factories,308,,,,,,,211660,,,,
KERALA,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),308,,,,,,,160862,,,,
ANDHRA PRADESH,,2011,POPULATION,Density Of Population (per sq km),Population Density,308,,,10.34, ,11.87,,17.64,17.19,18.12,,
MEGHALAYA,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),310,,,,,,,136050,,,,
MAHARASHTRA,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,312,,,,,,,2894,,,,
TRIPURA,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,316,,,,,,,66917,,,,
GUJARAT,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),318,,,,,,,7347,,,,
RAJASTHAN,2007,2009,HEALTH,Maternal Mortality Ratio (MMR),MMR,318,,,,,,,212,,,,
DELHI,,2011,HEALTH,No of Dispensaries ,Dispensaries ,319,,,,,,,24146,,,,
KARNATAKA,,2011,POPULATION,Density Of Population (per sq km),Population Density,319,,,15.46, ,15.88,,17.64,17.19,18.12,,
SIKKIM,2012,2013,Fiscal Developments,Capital Receipts (2012-13 BE) (in Rs cr),Capital Receipts(Cr),320,,,,,,,302330,,,,
